child_id,session_id,session_date,age,grade,gender,passage_id,passage_level,reading_duration_sec,words_total,words_correct,words_incorrect,reading_speed_wpm,pronunciation_accuracy,fluency_score,word_error_rate,hesitation_count,repetition_count,omission_count,substitution_count,insertion_count,transcribed_text,pitch_mean,energy_mean,avg_pause_duration,error_pattern_features,normalized_speed,normalized_fluency,normalized_accuracy,pitch_variability,energy_variability,pause_pattern_score,phonological_score,decoding_score,fluency_subscore,pronunciation_subscore,weak_skill,difficulty_score,difficulty_level,intervention_intensity
C001,C001-S01,2026-08-09,10,5,Male,P05,Challenging,100.3,94,38,56,56.2,51.8,38.6,0.587,7,7,1,4,1,the children played together in the garden after school,241.9,0.54,0.82,omission:1;substitution:4;insertion:1;repetition:7,56.2,38.6,40.9,23.0,0.14,44.1,40.3,77.3,40.6,51.1,phonological,0.583,High,High
C001,C001-S02,2026-08-16,10,5,Male,P02,Moderate,125.8,127,65,62,60.6,53.5,40.1,0.495,5,5,2,3,1,the family spent the evening reading a new story together,232.5,0.56,1.06,omission:2;substitution:3;insertion:1;repetition:5,60.6,40.1,50.8,24.7,0.13,32.8,61.5,77.7,42.1,54.6,fluency,0.506,High,High
C001,C001-S03,2026-08-23,10,5,Male,P04,Challenging,151.6,128,56,72,50.7,54.2,39.0,0.569,4,4,5,3,1,the family went to the park on a sunny afternoon,203.3,0.56,0.9,omission:5;substitution:3;insertion:1;repetition:4,50.7,39.0,44.0,27.9,0.13,36.3,60.0,69.2,42.0,53.6,fluency,0.582,High,High
C001,C001-S04,2026-08-30,10,5,Male,P01,Easy,83.7,103,57,46,73.8,48.9,36.8,0.437,3,3,5,3,2,the family spent the evening reading a new story together,209.5,0.38,0.85,omission:5;substitution:3;insertion:2;repetition:3,73.8,36.8,55.0,25.4,0.16,40.5,71.1,70.5,40.3,51.8,fluency,0.457,Moderate,High
C001,C001-S05,2026-09-06,10,5,Male,P04,Challenging,113.3,101,61,40,53.5,63.5,47.5,0.394,3,7,3,3,0,the teacher explained the lesson using pictures and examples,250.9,0.53,0.85,omission:3;substitution:3;insertion:0;repetition:7,53.5,47.5,60.4,31.0,0.1,35.1,64.5,72.8,48.6,63.5,fluency,0.46,Moderate,Moderate
C002,C002-S01,2026-08-06,8,3,Male,P01,Easy,149.7,147,84,63,58.9,53.2,41.0,0.425,3,3,4,2,0,the children played together in the garden after school,228.4,0.8,1.16,omission:4;substitution:2;insertion:0;repetition:3,58.9,41.0,57.1,21.0,0.11,32.7,83.3,79.0,40.0,49.6,fluency,0.465,Moderate,High
C002,C002-S02,2026-08-13,8,3,Male,P03,Moderate,107.0,96,52,44,53.8,55.8,38.8,0.457,6,0,3,2,1,the family went to the park on a sunny afternoon,204.4,0.53,0.85,omission:3;substitution:2;insertion:1;repetition:0,53.8,38.8,54.5,25.8,0.1,40.1,70.9,79.2,37.8,55.6,fluency,0.518,High,High
C002,C002-S03,2026-08-20,8,3,Male,P03,Moderate,81.5,117,65,52,86.2,68.8,49.5,0.437,4,1,7,4,1,the little girl walked to school with her brother,219.4,0.37,0.94,omission:7;substitution:4;insertion:1;repetition:1,86.2,49.5,55.5,31.6,0.08,30.9,75.7,57.6,49.7,72.0,fluency,0.402,Moderate,High
C002,C002-S04,2026-08-27,8,3,Male,P04,Challenging,102.7,144,104,40,84.1,65.9,65.7,0.282,5,2,1,1,1,the student tried to understand the difficult passage without help,207.4,0.5,1.07,omission:1;substitution:1;insertion:1;repetition:2,84.1,65.7,72.5,26.2,0.09,30.9,71.8,98.1,67.7,65.0,pronunciation,0.362,Moderate,Moderate
C002,C002-S05,2026-09-03,8,3,Male,P05,Challenging,94.2,113,70,43,72.0,65.2,63.9,0.36,3,4,4,1,2,the family went to the park on a sunny afternoon,247.2,0.48,0.73,omission:4;substitution:1;insertion:2;repetition:4,72.0,63.9,61.9,24.6,0.13,46.2,71.9,73.4,61.3,62.6,fluency,0.409,Moderate,Moderate
C003,C003-S01,2026-08-03,12,7,Female,P01,Easy,34.6,82,78,4,142.0,84.8,84.2,0.033,1,2,2,1,2,the girl opened her book and read the story aloud,236.4,0.57,0.59,omission:2;substitution:1;insertion:2;repetition:2,142.0,84.2,95.1,12.3,0.05,64.2,87.0,83.9,85.4,83.2,pronunciation,0.056,Low,Low
